parent,child,parent_hydro,child_hydro
PRO,JDA,50005237,50001534
PRO,MCN,50005237,50001566
PRO,ICH,50005237,50001585
PRO,PRA,50005237,50002273
PRO,JD1,50005237,50004785
PRO,SUN,50005237,50006812
PRO,TOP,50005237,50015300
PRO,SAT,50005237,50021261
SUN,ROZ,50006812,50007902
SUN,LNR,50006812,50008460
SUN,LWC,50006812,50019118
SUN,AH1,50006812,50022632
ROZ,LMT,50007902,50017934
ROZ,LMC,50007902,50023170
ROZ,TAN,50007902,50028498
ROZ,SWK,50007902,50040509
TOP,TP2,50015300,50022631
TOP,SM1,50015300,50024782
LMC,UMC,50023170,50026578
